EP ID,Home LC,Home MC,Home Region,Host LC,Host MC,Host Region,Date Break RE
e4ad09918ff1944cca1721aa97c691ad,KONYA,Turkey,Europe,Budapest Business School - KVIK,Hungary,Europe,2020-03-17 23:23
7396abbb46c5eef9e25f79e076645fdb,Cuenca,Ecuador,Americas,Tucumán,Argentina,Americas,2020-04-07 05:15
f799994258b0cb4702d2f7028c3f64ba,Expansiones Ecuador,Ecuador,Americas,SANTA MARIA,Brazil,Americas,2020-07-19 23:15
9d870dd3ec314d68956b9e5bfe79597d,Popayán,Colombia,Americas,JOAO PESSOA,Brazil,Americas,2020-04-28 01:43
079199e7927b243c7097a81e997f73a7,UNINORTE,Colombia,Americas,ITAM,Mexico,Americas,2020-04-10 05:29
d31e0af6e43c63f1c13ce11e6b00cd54,BRAUNSCHWEIG,Germany,Europe,VENEZIA,Italy,Europe,2020-03-05 23:39
2b3f75b4de803e2493a7deee36f6881d,MAINZ - WIESBADEN,Germany,Europe,UNSRI,Indonesia,Asia Pacific,2020-04-07 00:28
0c54b048175a5a3dacda2d47d85c9fd4,USP,Brazil,Americas,BUCARAMANGA,Colombia,Americas,2020-03-28 03:27
e72d00fdb850fc08f2694f7e809bc0b1,TUNJA,Colombia,Americas,Maceio,Brazil,Americas,2020-06-05 01:16
cad14f3fc3305bbad364cdf390b208ba,UTRECHT,The Netherlands,Europe,Semarang,Indonesia,Asia Pacific,2020-03-26 16:24
b020a302c7e0ef55158abbb3c86e1b1b,KOELN,Germany,Europe,SALVADOR,Brazil,Americas,2020-04-19 00:31
ac08d7ead7ff75a74b7fde47dd9edc01,Aguascalientes,Mexico,Americas,ANDES,Colombia,Americas,2020-03-29 04:13
5f0b59c5f3c3d2cf54609b8ffaccd9c7,UCR,Costa Rica,Americas,BRASÍLIA,Brazil,Americas,2020-03-22 06:58
9f398015476eb8779f62c745e80d3bea,Lima,Peru,Americas,Menofia,Egypt,Middle East and Africa,2020-03-10 11:41
1f6c9adff9e0823ec508b9064ecfd773,URP,Peru,Americas,Menofia,Egypt,Middle East and Africa,2020-03-10 11:43
54a556f25bf46305305d0135e8140b52,DEBRECEN,Hungary,Europe,UoM THESSALONIKI,Greece,Europe,2020-05-03 19:23
8d12b3763c9ebff82afd9c362bbf5874,Budapest Business School - PSZF,Hungary,Europe,ISTANBUL,Turkey,Europe,2020-03-26 02:44
28552a613e8a7b749882973b6baf1ae0,DEBRECEN,Hungary,Europe,UoM THESSALONIKI,Greece,Europe,2020-05-03 09:47
11b7b9c45b78a2aa479071fb22cb876b,REGENSBURG,Germany,Europe,VITÓRIA,Brazil,Americas,2020-04-11 03:48
764e1f965af648767d74e54f3f1c1cea,REGENSBURG,Germany,Europe,VITÓRIA,Brazil,Americas,2020-04-11 03:47
3c6f34e7dcc2b7370abe071f90bafb9e,MANNHEIM,Germany,Europe,LIMEIRA,Brazil,Americas,2020-03-24 00:03
88327c029594fd73d4b324fbd73aa96a,KOELN,Germany,Europe,SALVADOR,Brazil,Americas,2020-04-09 05:16
3e28ec679374fe9c2ad612289cd250e7,PRAIA,Cabo Verde,Middle East and Africa,FORTALEZA,Brazil,Americas,2020-04-02 15:14
89a0403fa4a401b33c1acf16ec0b97f1,JENA,Germany,Europe,Tangier,Morocco,Middle East and Africa,2020-04-21 00:21
b73a5fdcb486d69f39b40b96137caca7,Lisboa ISCTE,Portugal,Europe,UMM,Indonesia,Asia Pacific,2020-02-20 01:19
e4e2ff6db004cd1bceb962dd441d7248,BOCHUM,Germany,Europe,Rabat,Morocco,Middle East and Africa,2020-04-15 17:20
